# L path cyclic noncappable
1 1 1 0
2 7 7 0
3 42 18 24
4 234 50 184
5 1264 120 1144
6 6776 418 6358
7 36094 2114 33980
8 190560 10140 180420
9 997774 41544 956230
10 5199588 164022 5035566
11 27025854 730136 26295718
12 140092710 3770982 136321728
13 723510594 20541820 702968774
14 3720320512 110476618 3609843894
15 19044051770 580834748 18463217022
16 97051434120 3013771544 94037662576
17 492383872912 15539996378 476843876534
18 2486705768206 79715421726 2406990346480
19 12500104398912 406436091978 12093668306934
20 62535460933312 2059526455302 60475934478010
