topo	leaper	terms(n=1..13)
flat	knight	1, 2, 2, 8, 20, 94, 438, 2766, 19480, 163058, 1546726, 16598282, 197708058
flat	camel	1, 2, 6, 8, 24, 126, 524, 3072, 22854, 189646, 1827114, 19889946, 238648524
flat	zebra	1, 2, 6, 12, 36, 174, 708, 4334, 31424, 263732, 2503296, 26844578, 316692056
flat	giraffe	1, 2, 6, 24, 48, 182, 868, 5752, 37156, 296944, 2738820, 28894206, 335399468
torus	knight	1, 2, 0, 8, 10, 72, 210, 1408, 8334, 67400, 603372, 6576936, 80329522
torus	camel	1, 0, 6, 0, 10, 120, 210, 720, 6156, 41020, 395252, 4855968, 63368344
torus	zebra	1, 2, 6, 8, 10, 144, 210, 1408, 6156, 61900, 395252, 5353728, 64241086
torus	giraffe	1, 2, 0, 24, 10, 72, 210, 4864, 8334, 61900, 395252, 5586840, 63368344
mobius	knight	1, 2, 0, 0, 6, 22, 200, 1266, 11048, 93510, 956498, 10439562, 128784794
mobius	camel	1, 0, 6, 2, 2, 64, 150, 1454, 9114, 97966, 848378, 11091230, 125667676
mobius	zebra	1, 2, 6, 4, 6, 32, 270, 1226, 12102, 108926, 1129588, 12690196, 160440958
mobius	giraffe	1, 2, 0, 24, 6, 24, 184, 1008, 12072, 113896, 1145510, 13237632, 159144390
klein	knight	1, 0, 0, 0, 4, 4, 136, 628, 6740, 53280, 576360, 6374092, 80979240
klein	camel	1, 0, 4, 0, 2, 64, 54, 612, 4100, 45992, 403342, 5605200, 66375330
klein	zebra	1, 0, 2, 0, 0, 8, 28, 248, 3588, 31508, 409334, 4946760, 68113432
klein	giraffe	1, 0, 0, 16, 0, 0, 56, 864, 4348, 34872, 414950, 5183944, 68196002
