level,states_in,children_raw,states_out,hits,secs,rss_mb,free_gb,answer
240,1,2,2,0,0,4,28.88,0
239,2,4,4,0,0,4,28.88,0
238,4,6,6,0,0,4,28.88,0
237,6,6,6,0,0,4,28.88,0
236,6,12,12,0,0,4,28.88,0
235,12,18,18,0,0,5,28.88,0
234,18,18,18,0,0,5,28.88,0
233,18,36,36,0,0,5,28.88,0
232,36,54,54,0,0,5,28.88,0
231,54,54,54,0,0,5,28.88,0
230,54,105,105,0,0,5,28.88,0
229,105,159,159,0,0,5,28.88,0
228,159,159,159,0,0,5,28.88,0
227,159,306,300,0,0,5,28.88,0
226,300,440,424,0,0,5,28.88,0
225,424,424,424,0,0,5,28.88,0
224,424,848,848,0,0,5,28.88,0
223,848,1272,1272,0,0,5,28.88,0
222,1272,1272,1272,0,0,5,28.88,0
221,1272,1926,1926,0,0,5,28.88,0
220,1926,1926,1926,0,0,5,28.88,0
219,1926,2832,2706,0,0,5,28.88,0
218,2706,2706,2706,0,0,5,28.88,0
217,2706,5359,5271,0,1,5,28.88,0
216,5271,7951,7951,0,0,5,28.88,0
215,7951,7951,7951,0,0,5,28.88,0
214,7951,15407,15208,0,0,5,28.88,0
213,15208,23022,23022,0,0,5,28.88,0
212,23022,23022,23022,0,0,5,28.88,0
211,23022,33787,30504,0,0,5,28.88,0
210,30504,30504,30504,0,0,5,28.88,0
209,30504,60277,59357,0,0,6,28.88,0
208,59357,89533,89533,0,0,6,28.88,0
207,89533,89533,89533,0,0,6,28.88,0
206,89533,173475,167901,0,0,5,28.88,0
205,167901,244860,229993,0,0,6,28.88,0
204,229993,229993,229993,0,0,6,28.88,0
203,229993,438281,410206,0,0,6,28.88,0
202,410206,613284,571231,0,0,6,28.88,0
201,571231,571231,571231,0,0,6,28.88,0
200,571231,863417,863417,0,1,7,28.88,0
199,863417,863417,863417,0,0,5,28.88,0
198,863417,1677556,1630750,0,0,5,28.87,0
197,1630750,2469487,2469487,0,1,6,28.87,0
196,2469487,2469487,2469487,0,0,5,28.87,0
195,2469487,3642200,3207787,0,1,8,28.86,0
194,3207787,3207787,3207787,0,1,5,28.86,0
193,3207787,6308838,6117499,0,1,13,28.84,0
192,6117499,9267975,9267975,0,2,14,28.81,0
191,9267975,9267975,9267975,0,3,10,28.81,0
190,9267975,13591695,12563785,0,3,23,28.78,0
189,12563785,12563785,12563785,0,3,5,28.78,0
188,12563785,18801535,16959440,0,4,25,28.75,0
187,16959440,16959440,16959440,0,4,12,28.75,0
186,16959440,25653689,25653689,0,5,39,28.68,0
185,25653689,25653689,25653689,0,6,14,28.68,0
184,25653689,29064553,22133471,0,5,6,28.70,0
183,22133471,22133471,22133471,0,5,13,28.70,0
182,22133471,33426336,33426336,0,7,64,28.60,0
181,33426336,33426336,33426336,0,8,6,28.60,0
180,33426336,64975979,62071658,0,13,64,28.36,0
179,62071658,90984610,83330008,0,18,108,28.18,0
178,83330008,83330008,83330008,0,19,134,28.19,0
177,83330008,159127499,142838731,0,33,164,27.70,0
176,142838731,216041596,196294704,0,47,181,27.03,0
175,196294704,196294704,196294704,0,51,164,26.64,0
174,196294704,387628441,368746302,0,88,192,25.20,0
173,368746302,543971740,489347713,0,118,93,25.80,0
172,489347713,489347713,489347713,0,125,95,25.77,0
171,489347713,713476015,605085641,0,154,57,25.26,0
170,605085641,605085641,605085641,0,153,55,25.26,0
169,605085641,694003909,491877833,0,153,59,25.79,0
168,491877833,491877833,491877833,0,124,98,25.78,0
167,491877833,962817705,887265782,0,216,95,23.84,0
166,887265782,1311977787,1093565298,0,285,173,22.93,0
165,1093565298,1093565298,1093565298,0,275,57,22.89,0
164,1093565298,1674469449,1674469449,0,378,95,20.00,0
163,1674469449,1674469449,1674469449,0,432,59,19.85,0
162,1674469449,1674469449,1674469449,0,447,62,19.77,0
161,1674469449,2550387142,2550387142,0,641,62,15.25,0
